fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220524 164751	-0.252632118236215	5121	1456	18	5	8789000	1
20220524 164815	-0.724241270119091	7141	825	9	5	8195000	2
20220524 164832	0.0248091742119869	2479	927	11	5	0	3
20220524 164902	-0.603267562831752	3080	510	12	5	9889000	4
20220524 164930	-0.767452807142399	4710	692	16	5	9337000	5
20220524 164950	-0.99658631610655	6548	339	6	5	8961000	6
20220524 165014	-0.531045090629777	7914	1320	16	5	8064000	7
20220524 165039	-0.186733954075316	4263	1656	20	5	9445000	8
20220524 165102	-0.404987114791584	2834	1098	7	5	10422000	9
20220524 165120	-0.0827505692941485	3922	104	5	5	9111000	10
20220524 165133	-0.812218203944212	5869	1832	3	5	8593000	11
20220524 165207	-0.470886456291191	6475	187	19	5	9122000	12
20220524 165228	-0.214187077304814	2742	658	6	5	10221000	13
20220524 165253	-0.0507435838808304	6632	1049	12	5	8863000	14
20220524 165319	-0.535399224219145	1337	453	8	5	10330000	15
20220524 165344	-0.743477606214583	4404	1897	17	5	9269000	16
20220524 165400	-0.777576298299923	7860	1123	4	5	8064000	17
20220524 165424	-0.415597569913817	2148	601	7	5	11022000	18
20220524 165438	-0.148998261190619	6422	6	3	5	8493000	19
20220524 165457	-0.414265992505949	1752	1	5	5	9009000	20
20220524 165527	-0.36039367759964	141	70	7	5	8424000	21
20220524 165541	0.0996032647519011	7655	603	3	5	0	22
20220524 165557	-0.460962844572817	1633	755	3	5	9010000	23
20220524 165629	-0.400735350809513	3175	629	20	5	9889000	24
20220524 165644	-0.395683672412057	6665	599	3	5	8451000	25
20220524 165710	-0.118919991686352	7988	1174	12	5	8064000	26
20220524 165753	-0.557011216457263	2705	53	20	5	9060000	27
20220524 165833	-0.419859437440858	1215	606	12	5	10502000	28
20220524 165851	-0.30587708753754	1641	820	4	5	9787000	29
20220524 165928	-0.186751993576212	843	421	20	5	9779000	30
20220524 170007	-0.878406256578241	2679	509	19	5	10213000	31
20220524 170048	-0.828711005542877	299	142	12	5	7682000	32
20220524 170117	-0.914447381707816	4621	1001	20	5	9420000	33
20220524 170149	-0.880829528707726	8000	460	20	5	8064000	34
20220524 170222	-0.942890042934952	1195	589	10	5	10573000	35
20220524 170237	-0.895885140205935	1550	773	3	5	9010000	36
20220524 170313	-0.969461700121612	1135	508	20	5	10249000	37
20220524 170351	-0.93097252295486	2367	296	20	5	10610000	38
20220524 170405	-0.551215725573473	5246	405	3	5	8918000	39
20220524 170440	-0.923946406343189	1166	582	20	5	10446000	40
20220524 170503	-0.391972692749913	1691	697	6	5	11130000	41
20220524 170533	-0.663212135922112	2343	1167	20	5	9815000	42
20220524 170606	-0.960459126397108	1267	1	10	5	9265000	43
20220524 170638	-0.944436300853881	3413	532	15	5	9592000	44
20220524 170700	-0.999754373622694	2254	1126	6	5	9832000	45
20220524 170729	-0.845023558136619	2677	1336	20	5	9661000	46
20220524 170805	-0.679892611076068	873	436	20	5	9848000	47
20220524 170831	-0.378779985904593	2344	662	8	5	10537000	48
20220524 170847	-0.40422247321664	1315	652	3	5	9010000	49
20220524 170908	-0.255260556394371	4548	400	6	5	9247000	50
20220524 170947	-0.105904394574361	6231	41	20	5	9104000	51
20220524 171012	-0.425980368432616	1690	841	7	5	11049000	52
20220524 171037	-0.660976425233821	2017	1003	7	5	10987000	53
20220524 171110	-0.397799441906078	1185	590	20	5	10497000	54
20220524 171139	-0.889800211604128	2085	1039	10	5	10971000	55
20220524 171208	-0.707013207180166	1742	871	10	5	11191000	56
20220524 171235	-0.784110199011237	1936	742	8	5	10894000	57
20220524 171306	-0.633612597876639	1630	814	14	5	11173000	58
20220524 171337	-0.727982111371351	1782	889	13	5	11104000	59
20220524 171401	-0.111900752533184	6805	2000	20	5	8392000	60
20220524 171432	-0.929134243904386	1741	866	16	5	11192000	61
20220524 171504	-0.93330012072367	1756	797	13	5	11017000	62
20220524 171536	-0.694252455776078	1649	726	16	5	11228000	63
20220524 171608	-0.529361307887215	1619	784	16	5	10912000	64
20220524 171643	-0.177327579115282	6555	6	13	5	8859000	65
20220524 171714	-0.659611523349632	1827	710	11	5	11044000	66
20220524 171747	-0.779185941958673	1621	806	16	5	11128000	67
20220524 171810	-0.569195185209201	3853	1926	6	5	9175000	68
20220524 171843	-0.90292820169311	1741	601	16	5	11457000	69
20220524 171909	-0.999961660728373	6471	1998	16	5	8630000	70
20220524 171955	-0.998819258548913	5865	1	20	5	9161000	71
20220524 172031	-0.913411031752948	1732	466	17	5	11128000	72
20220524 172103	-0.883034354726369	1733	634	15	5	11393000	73
20220524 172125	-0.17202941250725	6084	1998	6	5	9005000	74
20220524 172151	-0.464868444741944	6187	2000	12	5	9005000	75
20220524 172224	-0.896998420576	1980	623	16	5	11206000	76
20220524 172258	-0.899829805831028	1539	618	16	5	11320000	77
20220524 172318	-0.364808818595075	3275	575	5	5	9889000	78
20220524 172343	-0.197079166645093	1694	230	6	5	10595000	79
20220524 172410	-0.613502364156958	5923	1266	20	5	9115000	80
20220524 172433	-0.510614157544635	5804	1125	6	5	9278000	81
20220524 172501	-0.440967895953494	3998	1997	20	5	9134000	82
20220524 172535	-0.390308909469846	1693	506	16	5	11271000	83
20220524 172614	-0.276199676880902	1754	281	20	5	10449000	84
20220524 172649	-0.32153117302108	1282	574	16	5	10522000	85
20220524 172723	-0.599118919034022	1748	580	15	5	11437000	86
20220524 172757	-0.633618760624597	1767	548	15	5	11258000	87
20220524 172824	-0.16190654760489	6446	1002	20	5	9205000	88
20220524 172852	-0.599404800268476	1730	669	7	5	11499000	89
20220524 172907	-0.999117770022957	7993	1998	3	5	8064000	90
20220524 172935	-0.599228332935474	1767	664	8	5	11499000	91
20220524 172958	-0.20242941355147	3337	1667	6	5	9881000	92
20220524 173024	-0.823861774041997	7999	2000	20	5	8064000	93
20220524 173038	-0.878620142676811	7942	1	3	5	8472000	94
20220524 173105	-0.922603336431876	4017	2000	8	5	9132000	95
20220524 173156	-0.193397904584484	1731	1	17	5	10486000	96
20220524 173227	-0.997891664248175	1716	583	9	5	11328000	97
20220524 173258	-0.900903895446046	1740	600	9	5	11457000	98
20220524 173332	-0.608309404325492	1683	608	16	5	11464000	99
20220524 173412	-0.999329479590787	1770	265	16	5	10406000	100
20220524 173502	-0.170226991126152	3882	1	20	5	8887000	101
20220524 173533	-0.845231886466396	1708	602	9	5	11457000	102
20220524 173607	-0.831094456876139	1694	600	16	5	11465000	103
20220524 173640	-0.857724319890191	1708	597	16	5	11457000	104
20220524 173716	-0.742661461208533	1659	590	16	5	11465000	105
20220524 173752	-0.903640170543296	1722	600	20	5	11457000	106
20220524 173819	-0.125998941316181	5336	592	7	5	9165000	107
20220524 173849	-0.606941798515341	1706	622	8	5	11439000	108
20220524 173921	-0.588422195309991	3029	1510	10	5	9983000	109
20220524 174024	-0.217228095109963	5	1	20	5	7331000	110
20220524 174100	-0.964323264195608	1763	593	20	5	11457000	111
20220524 174136	-0.738499040639613	1731	576	20	5	11352000	112
20220524 174211	-0.999253742186752	1761	600	20	5	11457000	113
20220524 174244	-0.900328881542758	1711	634	10	5	11393000	114
20220524 174320	-0.216140529627999	1748	591	16	5	11457000	115
20220524 174358	-0.207299709832096	1777	454	16	5	11128000	116
