fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220523 225521	-0.252632118236215	5121	1456	18	5	8645000	1
20220523 225544	-0.724241270119091	7141	825	9	5	8092000	2
20220523 225602	0.0248091742119869	2479	927	11	5	0	3
20220523 225631	-0.603267562831752	3080	510	12	5	10064000	4
20220523 225700	-0.767452807142399	4710	692	16	5	9117000	5
20220523 225720	-0.99658631610655	6548	339	6	5	8749000	6
20220523 225744	-0.531045090629777	7914	1320	16	5	7895000	7
20220523 225809	-0.186733954075316	4263	1656	20	5	9054000	8
20220523 225832	-0.404987114791584	2834	1098	7	5	10091000	9
20220523 225850	-0.0827505692941485	3922	104	5	5	9274000	10
20220523 225904	-0.812218203944212	5869	1832	3	5	7962000	11
20220523 225936	-0.470886456291191	6475	187	19	5	8895000	12
20220523 225957	-0.214187077304814	2742	658	6	5	10323000	13
20220523 230022	-0.0507435838808304	6632	1049	12	5	8749000	14
20220523 230049	-0.535399224219145	1337	453	8	5	10483000	15
20220523 230114	-0.743477606214583	4404	1897	17	5	9004000	16
20220523 230131	-0.256479079471985	1573	599	4	5	9738000	17
20220523 230145	0.0956398050255257	7997	462	15	5	0	18
20220523 230203	0.00988076577186666	7922	1957	8	5	0	19
20220523 230231	-0.121467977129611	5942	24	9	5	8290000	20
20220523 230255	-0.326862031447356	3042	489	7	5	9958000	21
20220523 230323	-0.836714932239738	4	2	8	5	10114000	22
20220523 230338	0.0793479773200682	7	2	6	5	0	23
20220523 230409	-0.498934090999637	2981	259	11	5	10230000	24
20220523 230439	-0.718124462982648	1096	281	9	5	9989000	25
20220523 230513	-0.454007359329231	1421	510	20	5	10644000	26
20220523 230543	-0.534798280843955	2066	1031	20	5	10621000	27
20220523 230626	-0.592092408458252	523	61	20	5	9035000	28
20220523 230656	-0.818705946006641	1810	879	13	5	10440000	29
20220523 230718	-0.890852124323827	2138	5	6	5	9581000	30
20220523 230747	-0.47837750883987	1941	969	13	5	10500000	31
20220523 230825	-0.392113248986336	2189	108	20	5	10037000	32
20220523 230839	-0.793415748697121	1339	659	3	5	9001000	33
20220523 230932	-0.846725721272339	1141	1	20	5	10169000	34
20220523 231002	-0.695898840699803	2242	893	20	5	10118000	35
20220523 231030	-0.908661766352287	2874	1424	20	5	9897000	36
20220523 231044	-0.21402852431473	3843	907	3	5	9022000	37
20220523 231121	-0.237222957337482	2676	211	20	5	10352000	38
20220523 231156	-0.835194091427237	2906	217	17	5	10062000	39
20220523 231225	-0.293979880056774	2546	1268	20	5	9603000	40
20220523 231244	-0.436216450725856	1502	5	5	5	9533000	41
20220523 231313	-0.447620944540909	3241	922	20	5	10115000	42
20220523 231347	-0.513244546746321	1584	599	18	5	10516000	43
20220523 231412	-0.546564824142618	2638	1319	8	5	9684000	44
20220523 231450	-0.955846449915944	310	155	14	5	7368000	45
20220523 231525	-0.545103620722596	2116	245	14	5	10509000	46
20220523 231557	-0.552547551425062	4504	336	20	5	9502000	47
20220523 231628	-0.465839217674109	2163	635	20	5	10292000	48
20220523 231701	-0.41477540140551	1292	646	15	5	10656000	49
20220523 231729	-0.0820278381754426	5305	847	20	5	9055000	50
20220523 231806	-0.19954989572333	2729	4	12	5	9515000	51
20220523 231838	-0.541085211628038	1504	748	14	5	11032000	52
20220523 231905	-0.89964042006544	5498	907	20	5	8935000	53
20220523 231936	-0.638204565547737	1629	813	13	5	10225000	54
20220523 232001	-0.999778548456097	4234	2000	9	5	9127000	55
20220523 232053	-0.773171240527383	11	3	18	5	6741000	56
20220523 232123	-0.85551931441354	1564	781	11	5	10451000	57
20220523 232153	-0.694951616452955	3302	2	9	5	9287000	58
20220523 232224	-0.408691050684969	4417	286	12	5	9208000	59
20220523 232252	-0.235793400185828	2623	1292	12	5	9467000	60
20220523 232316	-0.999864970711033	7991	1999	14	5	7895000	61
20220523 232343	-0.165020421847337	6633	995	20	5	8749000	62
20220523 232414	-0.567595231721963	1493	746	15	5	11025000	63
20220523 232444	-0.840672337817999	1129	1	9	5	10285000	64
20220523 232521	-0.345291277302624	599	299	20	5	9123000	65
20220523 232551	-0.848418383305691	2153	1073	20	5	10293000	66
20220523 232628	-0.225255633829508	3846	78	20	5	8763000	67
20220523 232653	-0.365195095409363	6827	1999	20	5	8063000	68
20220523 232708	-0.16373521134916	1416	704	3	5	9001000	69
20220523 232734	-0.879200339080361	3708	1842	11	5	8906000	70
20220523 232820	-0.999882158421126	4089	3	20	5	8498000	71
20220523 232849	-0.721269927270028	2130	1061	11	5	10432000	72
20220523 232921	-0.551820058344189	1308	651	16	5	10781000	73
20220523 232953	-0.57745910813685	1637	804	13	5	10341000	74
20220523 233021	-0.528730262429308	2888	1033	15	5	10311000	75
20220523 233055	-0.504979855388061	1466	416	15	5	10674000	76
20220523 233121	-0.556279041344667	6038	1427	14	5	8525000	77
20220523 233150	-0.435604690779669	1511	755	9	5	10893000	78
20220523 233222	-0.554444149385906	1496	734	20	5	10903000	79
20220523 233256	-0.217161207355434	1520	567	20	5	10557000	80
20220523 233321	-0.120613841487266	5828	1586	14	5	8511000	81
20220523 233351	-0.432328235183373	2089	972	15	5	10481000	82
20220523 233417	-0.8245487140198	2030	1013	8	5	10643000	83
20220523 233457	-0.822258829661528	7998	3	20	5	7673000	84
20220523 233523	-0.999668315441613	2304	1150	8	5	10176000	85
20220523 233548	-0.875806393983994	898	449	7	5	10305000	86
20220523 233639	-0.906492723482583	2006	1	20	5	9786000	87
20220523 233705	-0.460694647249468	93	44	7	5	10197000	88
20220523 233720	-0.999275155212333	7969	1967	3	5	7895000	89
20220523 233808	-0.610456711896024	2983	4	20	5	8827000	90
20220523 233837	-0.826359618685748	2614	633	10	5	10323000	91
20220523 233851	-0.999918411351388	3129	1558	3	5	8528000	92
20220523 233919	-0.393688640859561	1068	534	8	5	10246000	93
20220523 233951	-0.545130218847349	1779	726	15	5	10578000	94
20220523 234009	-0.560124030822905	418	209	4	5	9875000	95
20220523 234037	-0.999571882026127	3104	1071	15	5	9929000	96
20220523 234103	-0.655354459541018	6799	1238	20	5	8218000	97
