fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 233059	405	11	75	7	5	11581000	1
20220525 233414	377	15	84	9	5	11715000	2
20220525 233659	419	11	85	8	5	11928000	3
20220525 233851	397	9	88	6	5	11236000	4
20220525 234159	391	14	82	9	5	11302000	5
20220525 234423	383	8	71	10	5	11536000	6
20220525 234558	407	6	83	7	5	11012000	7
20220525 234858	444	9	74	10	5	11660000	8
20220525 235128	420	15	78	6	5	11675000	9
20220525 235334	358	8	79	9	5	11607000	10
20220525 235500	373	6	72	7	5	10883000	11
20220525 235724	435	7	89	10	5	11292000	12
20220526 000023	431	12	80	8	5	12132000	13
20220526 000230	350	13	77	6	5	11576000	14
20220526 000527	366	13	87	9	5	11407000	15
20220526 000654	450	5	73	7	5	10914000	16
20220526 000934	379	12	72	8	5	11894000	17
20220526 001241	450	12	88	8	5	11662000	18
20220526 001531	431	11	78	8	5	11954000	19
20220526 001804	369	12	80	8	5	12115000	20
20220526 002055	406	12	79	8	5	12087000	21
20220526 002344	411	12	81	8	5	11884000	22
20220526 002627	411	11	80	8	5	12229000	23
20220526 002848	411	9	80	8	5	12193000	24
20220526 003118	402	10	80	8	5	12190000	25
20220526 003327	450	7	80	8	5	11365000	26
20220526 003531	350	9	80	8	5	11940000	27
20220526 003831	450	10	80	9	5	11733000	28
20220526 004120	450	10	80	8	5	11921000	29
20220526 004347	404	11	80	7	5	11736000	30
20220526 004609	404	9	79	8	5	12137000	31
20220526 004847	391	11	80	8	5	12129000	32
20220526 005127	416	10	80	8	5	12119000	33
20220526 005350	396	9	80	8	5	12140000	34
20220526 005644	435	11	80	8	5	12246000	35
20220526 005912	388	10	82	8	5	12053000	36
20220526 010130	357	10	80	8	5	12135000	37
20220526 010420	430	11	81	8	5	12089000	38
20220526 010707	426	11	80	8	5	12213000	39
20220526 011004	450	11	80	8	5	12146000	40
20220526 011232	350	12	79	8	5	12112000	41
20220526 011443	351	10	84	8	5	12112000	42
20220526 011703	406	9	84	8	5	11939000	43
20220526 011922	350	11	83	8	5	11856000	44
20220526 012153	362	12	76	8	5	11862000	45
20220526 012411	368	10	86	8	5	11972000	46
20220526 012636	357	10	84	9	5	11587000	47
20220526 012914	360	13	79	8	5	11860000	48
20220526 013114	350	10	84	7	5	11402000	49
20220526 013330	353	10	72	8	5	11759000	50
20220526 013554	365	11	79	8	5	12048000	51
20220526 013854	442	12	70	8	5	11698000	52
20220526 014146	437	11	80	8	5	12259000	53
20220526 014435	439	11	80	8	5	12272000	54
20220526 014724	440	11	80	8	5	12267000	55
20220526 014929	364	9	83	8	5	12064000	56
20220526 015156	390	10	78	8	5	11995000	57
20220526 015419	376	10	80	8	5	12142000	58
20220526 015611	350	8	85	8	5	11487000	59
20220526 015923	442	13	79	8	5	11866000	60
20220526 020143	407	9	73	8	5	11910000	61
20220526 020419	408	9	75	9	5	11535000	62
20220526 020647	400	10	70	8	5	11843000	63
20220526 020903	361	10	82	8	5	11980000	64
20220526 021125	378	10	84	8	5	12041000	65
20220526 021428	449	12	78	8	5	12094000	66
20220526 021728	440	12	79	8	5	12104000	67
20220526 022032	450	12	75	8	5	11811000	68
20220526 022255	406	9	81	8	5	12134000	69
20220526 022527	442	9	80	8	5	12134000	70
20220526 022757	430	9	77	8	5	11978000	71
20220526 023026	438	9	82	8	5	12127000	72
20220526 023301	450	9	71	8	5	12075000	73
20220526 023538	426	10	85	8	5	12050000	74
20220526 023740	350	9	88	8	5	12035000	75
20220526 024013	413	10	90	8	5	12078000	76
20220526 024258	450	10	89	8	5	12063000	77
20220526 024528	432	9	89	8	5	12142000	78
20220526 024742	387	9	90	8	5	11876000	79
20220526 025018	426	10	88	8	5	11992000	80
20220526 025251	450	9	90	8	5	11903000	81
20220526 025502	350	10	89	8	5	12005000	82
20220526 025720	435	8	70	8	5	11868000	83
20220526 025949	442	9	86	8	5	12020000	84
20220526 030239	434	11	90	8	5	11905000	85
20220526 030513	450	9	74	8	5	11916000	86
20220526 030729	429	8	89	8	5	11585000	87
20220526 031017	450	10	70	8	5	11786000	88
20220526 031309	445	11	84	8	5	11961000	89
20220526 031535	350	12	90	8	5	11617000	90
20220526 031828	402	13	84	8	5	11790000	91
20220526 032057	350	13	70	8	5	11879000	92
20220526 032350	391	14	71	8	5	11500000	93
20220526 032616	425	9	70	8	5	11863000	94
20220526 032858	435	10	90	8	5	11932000	95
20220526 033155	426	12	78	8	5	12064000	96
20220526 033433	397	11	89	8	5	11945000	97
20220526 033657	413	9	89	8	5	11966000	98
20220526 033941	438	9	89	9	5	11669000	99
20220526 034232	376	15	85	8	5	11451000	100
20220526 034456	384	10	90	8	5	12063000	101
20220526 034724	426	9	80	8	5	12014000	102
20220526 035013	398	13	74	8	5	11917000	103
20220526 035240	403	10	85	8	5	12045000	104
20220526 035449	409	8	76	8	5	11563000	105
20220526 035728	384	12	78	8	5	12067000	106
20220526 035940	374	9	76	8	5	11987000	107
20220526 040242	434	13	70	8	5	11659000	108
20220526 040500	350	11	74	8	5	11918000	109
20220526 040747	450	10	86	8	5	11867000	110
20220526 041017	380	11	70	8	5	11910000	111
20220526 041250	450	9	82	8	5	12062000	112
20220526 041530	403	11	79	8	5	11997000	113
20220526 041804	414	10	83	8	5	11987000	114
20220526 042057	440	11	70	8	5	11878000	115
20220526 042339	410	11	73	8	5	11890000	116
